company_name,bike_id,lat,lon,vehicle_type,is_reserved,is_disabled,time
Bird,53540c88-af83-4bf8-9984-a4102dc7b2a3,38.90265766666666,-77.03597116666667,scooter,0,0,2022-09-23T17:11:23Z
Bird,600f094f-b7d9-4f67-a4d3-b20f92fedb9f,38.88051986666667,-77.00522613333332,scooter,0,0,2022-09-23T17:11:23Z
Bird,320a0901-41b2-4fc6-a978-b39f611dad8d,38.915427666666666,-77.044483,scooter,0,0,2022-09-23T17:11:23Z
Bird,34604589-24cf-42f6-9773-e25bd3401551,38.87512588333333,-77.00884246666666,scooter,0,0,2022-09-23T17:11:23Z
Bird,edb0909f-fdcf-4bee-a683-30f716c106b9,38.89364243333333,-77.04294586666667,scooter,0,0,2022-09-23T17:11:23Z
Bird,02d92bdf-c2a0-4fb5-b376-c1e2f60a65f2,38.95521316666667,-77.02865816666667,scooter,0,0,2022-09-23T17:11:23Z
Bird,91d8b215-995e-4181-8951-f6a8149c4a43,38.90787506666666,-77.00961303333334,scooter,0,0,2022-09-23T17:11:23Z
Bird,9563d270-4f9d-4863-973d-c2a65ef267f1,38.88995743333333,-77.01505279999999,scooter,0,0,2022-09-23T17:11:23Z
Bird,527c6e19-c4b7-4c96-bb08-af6662bf6925,38.90065001666667,-77.04531096666666,scooter,0,0,2022-09-23T17:11:23Z
Bird,fa79e8b5-8d28-4560-a1f3-7eca4c18effa,38.88768386666666,-77.02309418333333,scooter,0,0,2022-09-23T17:11:23Z
Bird,7c99fc0c-7b45-4343-a41f-0088c3d65f6a,38.892387383333336,-77.02161406666667,scooter,0,0,2022-09-23T17:11:23Z
Bird,d02da37f-eaf0-48f6-b68f-2648fbfe3300,38.887417,-77.02897783333333,scooter,0,0,2022-09-23T17:11:23Z
Bird,b42db241-07c2-4b1c-b585-202e5136832a,38.8784245,-77.00493466666667,scooter,0,0,2022-09-23T17:11:23Z
Bird,5d9010bf-70d5-4ebb-bcdd-a29443e90619,38.887634283333334,-77.02308655,scooter,0,0,2022-09-23T17:11:23Z
